schedule_id,start_date,end_date,activity,field,priority,status,assigned_to
S-001,2024-01-05,2024-01-10,Well Inspection,Oseberg,High,Planned,Team Alpha
S-002,2024-01-08,2024-01-12,Maintenance Shutdown,Snorre,Critical,In-Progress,Team Beta
S-003,2024-01-15,2024-01-20,Subsea Survey,Troll,Medium,Planned,External Vendor
S-004,2024-01-20,2024-01-25,Chemical Treatment,Gullfaks,Low,Planned,Team Alpha
S-005,2024-01-22,2024-01-28,Production Test,Ekofisk,High,Planned,Team Gamma
S-006,2024-02-01,2024-02-05,Safety Audit,Oseberg,Critical,Planned,HSE Team
S-007,2024-02-10,2024-02-14,Equipment Upgrade,Troll,High,Planned,Team Beta
S-008,2024-02-15,2024-02-18,Routine Inspection,Gullfaks,Low,Planned,Team Alpha
S-009,2024-02-20,2024-02-25,Well Stimulation,Ekofisk,High,Planned,External Vendor
S-010,2024-02-22,2024-02-26,Pipeline Integrity Check,Snorre,Critical,Planned,Team Gamma
