cost_id,date,field,cost_type,amount_usd,department,project,vendor
C-001,2024-01-01,Oseberg,OPEX,45000,Operations,PAB-2024,Schlumberger
C-002,2024-01-01,Troll,OPEX,62000,Operations,PAB-2024,Halliburton
C-003,2024-01-01,Gullfaks,CAPEX,250000,Engineering,GF-Expansion,Baker Hughes
C-004,2024-01-01,Snorre,OPEX,18000,Maintenance,SN-Maint-Q1,Internal
C-005,2024-01-01,Ekofisk,OPEX,71000,Operations,PAB-2024,Weatherford
C-006,2024-01-02,Oseberg,OPEX,44500,Operations,PAB-2024,Schlumberger
C-007,2024-01-02,Troll,OPEX,61500,Operations,PAB-2024,Halliburton
C-008,2024-01-02,Gullfaks,OPEX,38000,Operations,PAB-2024,Internal
C-009,2024-01-02,Snorre,CAPEX,95000,Engineering,SN-Upgrade,Baker Hughes
C-010,2024-01-02,Ekofisk,OPEX,70500,Operations,PAB-2024,Weatherford
C-011,2024-01-03,Oseberg,OPEX,46000,Operations,PAB-2024,Schlumberger
C-012,2024-01-03,Troll,OPEX,63000,Operations,PAB-2024,Halliburton
C-013,2024-01-03,Gullfaks,CAPEX,180000,Engineering,GF-Expansion,Baker Hughes
C-014,2024-01-03,Snorre,OPEX,22000,Maintenance,SN-Maint-Q1,Internal
C-015,2024-01-03,Ekofisk,OPEX,69000,Operations,PAB-2024,Weatherford
C-016,2024-01-04,Oseberg,OPEX,44000,Operations,PAB-2024,Schlumberger
C-017,2024-01-04,Troll,OPEX,60500,Operations,PAB-2024,Halliburton
C-018,2024-01-04,Gullfaks,OPEX,39000,Operations,PAB-2024,Internal
C-019,2024-01-04,Snorre,OPEX,19500,Maintenance,SN-Maint-Q1,Internal
C-020,2024-01-04,Ekofisk,OPEX,72000,Operations,PAB-2024,Weatherford
