well_id,date,field,oil_bbl,gas_mcf,water_bbl,status
W-001,2024-01-01,Oseberg,1200,4500,320,Active
W-001,2024-01-02,Oseberg,1185,4420,318,Active
W-001,2024-01-03,Oseberg,1210,4510,321,Active
W-001,2024-01-04,Oseberg,1198,4490,319,Active
W-001,2024-01-05,Oseberg,1202,4505,320,Active
W-002,2024-01-01,Troll,980,6200,150,Active
W-002,2024-01-02,Troll,975,6185,148,Active
W-002,2024-01-03,Troll,982,6210,151,Active
W-002,2024-01-04,Troll,970,6180,147,Active
W-002,2024-01-05,Troll,978,6195,149,Active
W-003,2024-01-01,Gullfaks,2100,3800,510,Active
W-003,2024-01-02,Gullfaks,2085,3790,508,Active
W-003,2024-01-03,Gullfaks,2110,3810,512,Active
W-003,2024-01-04,Gullfaks,2095,3800,510,Active
W-003,2024-01-05,Gullfaks,2105,3805,511,Active
W-004,2024-01-01,Snorre,450,1200,90,Maintenance
W-004,2024-01-02,Snorre,0,0,0,Shut-in
W-004,2024-01-03,Snorre,0,0,0,Shut-in
W-004,2024-01-04,Snorre,200,600,45,Active
W-004,2024-01-05,Snorre,430,1180,88,Active
W-005,2024-01-01,Ekofisk,1650,5100,275,Active
W-005,2024-01-02,Ekofisk,1640,5090,272,Active
W-005,2024-01-03,Ekofisk,1655,5110,276,Active
W-005,2024-01-04,Ekofisk,1645,5095,273,Active
W-005,2024-01-05,Ekofisk,1648,5098,274,Active
W-006,2024-01-01,Oseberg,890,3200,180,Active
W-006,2024-01-02,Oseberg,885,3195,179,Active
W-006,2024-01-03,Oseberg,892,3205,181,Active
W-006,2024-01-04,Oseberg,888,3198,180,Active
W-006,2024-01-05,Oseberg,891,3202,180,Active
